Symbol,CompanyName,Industry,MarketCap
ASPI,ASP Isotopes,Pharmaceuticals,56461684
ASPN,Aspen Aerogels,Building Products & Equipment,915447355
ASPS,Altisource Portfolio Solutions,Real Estate Services,115242810
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,6424789500
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,103188665
ASRV,AmeriServ Financial,Banks - Regional,51441900
ASST,Asset Entities,Internet Content & Information,8683185
ASTC,Astrotech,Aerospace & Defense,13230951
ASTE,Astec Industries,Farm & Heavy Construction Machinery,721745382
ASTI,Ascent Solar Technologies,Solar,2967253
ASTL,Algoma Steel Group,Steel,844078255
ASTR,Astra Space,Aerospace & Defense,29333980
ASTS,AST SpaceMobile,Telecom Services,1192860178
ASUR,Asure Software,Software - Application,193342336
ASX,ASE Technology Holding Co.,Semiconductors,18887330715
ASXC,Asensus Surgical,Medical Devices,69277486
ASYS,Amtech Systems,Semiconductor Equipment & Materials,92796470
ATAI,Atai Life Sciences,Biotechnology,200872100
ATAK,Aurora Technology Acquisition,Shell Companies,117156598
ATAT,Atour Lifestyle Holdings,Lodging,2165423553
ATEC,Alphatec Holdings,Medical Devices,1732385710
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,131039795
ATEN,A10 Networks,Software - Infrastructure,944520668
ATER,Aterian,"Furnishings, Fixtures & Appliances",28326976
ATEX,Anterix,Telecom Services,681152413
ATGE,Adtalem Global Education,Education & Training Services,2387320290
ATGL,Alpha Technology Group,Software - Infrastructure,144430
ATHA,Athira Pharma,Biotechnology,74967562
ATHE,Alterity Therapeutics,Biotechnology,12283678
ATHM,Autohome,Internet Content & Information,3151514167
ATI,ATI Inc.,Metal Fabrication,5071185750
ATIF,ATIF Holdings,Capital Markets,10590195
ATIP,ATI Physical Therapy,Medical Care Facilities,29843724
ATKR,Atkore,Electrical Equipment & Parts,5046526663
ATLC,Atlanticus Holdings,Credit Services,466070625
ATLO,Ames National,Banks - Regional,178764340
ATLX,Atlas Lithium,Other Precious Metals & Mining,301438720
ATMC,AlphaTime Acquisition,Shell Companies,97117650
ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1959997140
ATMV,AlphaVest Acquisition,Shell Companies,98139545
ATNF,180 Life Sciences,Biotechnology,1779159
ATNI,ATN International,Telecom Services,495647010
ATNM,Actinium Pharmaceuticals,Biotechnology,145839288
ATO,Atmos Energy,Utilities - Regulated Gas,16848356160
ATOM,Atomera,Semiconductor Equipment & Materials,181624960
ATOS,Atossa Therapeutics,Biotechnology,94378973
ATPC,Agape ATP,Packaged Foods,57826500
ATR,AptarGroup,Medical Instruments & Supplies,8375275116
ATRA,Atara Biotherapeutics,Biotechnology,68338701
ATRC,AtriCure,Medical Instruments & Supplies,1618068714
ATRI,Atrion,Medical Instruments & Supplies,573479061
ATRO,Astronics,Aerospace & Defense,513331980
ATS,ATS Corporation,Specialty Industrial Machinery,3424554752
ATSG,Air Transport Services Group,Airlines,1018257240
ATUS,Altice USA,Telecom Services,1323165324
ATXG,Addentax Group,Integrated Freight & Logistics,5368725
ATXI,Avenue Therapeutics,Biotechnology,2033507
ATXS,Astria Therapeutics,Biotechnology,195636518
AU,AngloGold Ashanti,Gold,7289911080
AUB,Atlantic Union Bankshares,Banks - Regional,2537798046
AUBN,Auburn National Bancorporation,Banks - Regional,71619005
AUDC,AudioCodes,Communication Equipment,357175728
AUGX,Augmedix,Health Information Services,286475680
AUID,authID,Software - Infrastructure,78907083
